,T1 (Celsius),P1 (MPa),P2 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,295.009,8.0,0.01,36.481,26.782,25000.0
1,296.828,8.211,0.01,36.705,26.613,25000.0
2,298.612,8.421,0.009,36.93,26.443,25000.0
3,300.362,8.632,0.009,37.158,26.274,25000.0
4,302.079,8.842,0.008,37.388,26.103,25000.0
5,303.766,9.053,0.008,37.621,25.93,25000.0
6,305.422,9.263,0.007,37.859,25.754,25000.0
7,307.049,9.474,0.007,38.103,25.574,25000.0
8,308.649,9.684,0.006,38.355,25.389,25000.0
9,310.223,9.895,0.006,38.615,25.197,25000.0
10,311.77,10.105,0.005,38.886,24.998,25000.0
11,313.293,10.316,0.005,39.172,24.788,25000.0
12,314.792,10.526,0.004,39.474,24.565,25000.0
13,316.268,10.737,0.004,39.798,24.326,25000.0
14,317.721,10.947,0.003,40.149,24.066,25000.0
15,319.153,11.158,0.003,40.537,23.779,25000.0
16,320.564,11.368,0.002,40.975,23.454,25000.0
17,321.955,11.579,0.002,41.485,23.077,25000.0
18,323.326,11.789,0.001,42.106,22.62,25000.0
19,324.678,12.0,0.001,42.921,22.027,25000.0
