,T1 (Celsius),P1 (MPa),P2 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,37.971,26.878,30000.0
1,417.895,8.211,0.01,38.445,26.11,30000.0
2,435.789,8.421,0.009,38.925,25.376,30000.0
3,453.684,8.632,0.009,39.412,24.673,30000.0
4,471.579,8.842,0.008,39.905,23.996,30000.0
5,489.474,9.053,0.008,40.404,23.344,30000.0
6,507.368,9.263,0.007,40.911,22.714,30000.0
7,525.263,9.474,0.007,41.427,22.104,30000.0
8,543.158,9.684,0.006,41.951,21.513,30000.0
9,561.053,9.895,0.006,42.485,20.938,30000.0
10,578.947,10.105,0.005,43.031,20.378,30000.0
11,596.842,10.316,0.005,43.591,19.83,30000.0
12,614.737,10.526,0.004,44.168,19.294,30000.0
13,632.632,10.737,0.004,44.765,18.767,30000.0
14,650.526,10.947,0.003,45.387,18.245,30000.0
15,668.421,11.158,0.003,46.043,17.725,30000.0
16,686.316,11.368,0.002,46.745,17.203,30000.0
17,704.211,11.579,0.002,47.512,16.67,30000.0
18,722.105,11.789,0.001,48.381,16.112,30000.0
19,740.0,12.0,0.001,49.428,15.5,30000.0
