,T1 (Celsius),P1 (MPa),P4 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,295.009,8.0,0.01,31.253,32.246,30000.0
1,296.828,8.211,0.01,31.461,31.971,30000.0
2,298.612,8.421,0.009,31.671,31.697,30000.0
3,300.362,8.632,0.009,31.883,31.423,30000.0
4,302.079,8.842,0.008,32.098,31.149,30000.0
5,303.766,9.053,0.008,32.317,30.874,30000.0
6,305.422,9.263,0.007,32.541,30.596,30000.0
7,307.049,9.474,0.007,32.77,30.314,30000.0
8,308.649,9.684,0.006,33.006,30.028,30000.0
9,310.223,9.895,0.006,33.251,29.734,30000.0
10,311.77,10.105,0.005,33.507,29.433,30000.0
11,313.293,10.316,0.005,33.776,29.12,30000.0
12,314.792,10.526,0.004,34.06,28.794,30000.0
13,316.268,10.737,0.004,34.365,28.451,30000.0
14,317.721,10.947,0.003,34.696,28.084,30000.0
15,319.153,11.158,0.003,35.061,27.688,30000.0
16,320.564,11.368,0.002,35.472,27.251,30000.0
17,321.955,11.579,0.002,35.948,26.756,30000.0
18,323.326,11.789,0.001,36.527,26.173,30000.0
19,324.678,12.0,0.001,37.284,25.439,30000.0
