,T1 (Celsius),P1 (MPa),P6 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,295.009,8.0,0.01,33.645,40.731,30000.0
1,296.828,8.211,0.01,33.875,40.554,30000.0
2,298.612,8.421,0.009,34.105,40.378,30000.0
3,300.362,8.632,0.009,34.337,40.202,30000.0
4,302.079,8.842,0.008,34.572,40.026,30000.0
5,303.766,9.053,0.008,34.81,39.848,30000.0
6,305.422,9.263,0.007,35.053,39.669,30000.0
7,307.049,9.474,0.007,35.301,39.485,30000.0
8,308.649,9.684,0.006,35.556,39.297,30000.0
9,310.223,9.895,0.006,35.82,39.102,30000.0
10,311.77,10.105,0.005,36.094,38.9,30000.0
11,313.293,10.316,0.005,36.382,38.686,30000.0
12,314.792,10.526,0.004,36.685,38.46,30000.0
13,316.268,10.737,0.004,37.009,38.216,30000.0
14,317.721,10.947,0.003,37.36,37.951,30000.0
15,319.153,11.158,0.003,37.745,37.656,30000.0
16,320.564,11.368,0.002,38.178,37.321,30000.0
17,321.955,11.579,0.002,38.679,36.93,30000.0
18,323.326,11.789,0.001,39.284,36.452,30000.0
19,324.678,12.0,0.001,40.072,35.824,30000.0
