,T1 (Celsius),P1 (MPa),P6 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,36.044,35.411,30000.0
1,417.895,8.211,0.01,36.675,34.77,30000.0
2,435.789,8.421,0.009,37.302,34.174,30000.0
3,453.684,8.632,0.009,37.928,33.62,30000.0
4,471.579,8.842,0.008,38.554,33.106,30000.0
5,489.474,9.053,0.008,39.18,32.633,30000.0
6,507.368,9.263,0.007,39.808,32.203,30000.0
7,525.263,9.474,0.007,40.441,31.82,30000.0
8,543.158,9.684,0.006,40.927,30.16,30000.0
9,561.053,9.895,0.006,41.496,29.271,30000.0
10,578.947,10.105,0.005,42.07,28.417,30000.0
11,596.842,10.316,0.005,42.649,27.593,30000.0
12,614.737,10.526,0.004,43.236,26.798,30000.0
13,632.632,10.737,0.004,43.836,26.027,30000.0
14,650.526,10.947,0.003,44.452,25.277,30000.0
15,668.421,11.158,0.003,45.093,24.544,30000.0
16,686.316,11.368,0.002,45.768,23.823,30000.0
17,704.211,11.579,0.002,46.494,23.105,30000.0
18,722.105,11.789,0.001,47.303,22.378,30000.0
19,740.0,12.0,0.001,48.26,21.616,30000.0
