,T1 (Celsius),P1 (MPa),P5 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,295.009,8.0,0.01,33.098,34.954,30000.0
1,296.828,8.211,0.01,33.343,34.732,30000.0
2,298.612,8.421,0.009,33.589,34.512,30000.0
3,300.362,8.632,0.009,33.837,34.293,30000.0
4,302.079,8.842,0.008,34.088,34.075,30000.0
5,303.766,9.053,0.008,34.343,33.856,30000.0
6,305.422,9.263,0.007,34.602,33.635,30000.0
7,307.049,9.474,0.007,34.867,33.412,30000.0
8,308.649,9.684,0.006,35.14,33.186,30000.0
9,310.223,9.895,0.006,35.421,32.955,30000.0
10,311.77,10.105,0.005,35.714,32.718,30000.0
11,313.293,10.316,0.005,36.02,32.472,30000.0
12,314.792,10.526,0.004,36.343,32.216,30000.0
13,316.268,10.737,0.004,36.687,31.946,30000.0
14,317.721,10.947,0.003,37.059,31.659,30000.0
15,319.153,11.158,0.003,37.466,31.347,30000.0
16,320.564,11.368,0.002,37.922,31.003,30000.0
17,321.955,11.579,0.002,38.448,30.613,30000.0
18,323.326,11.789,0.001,39.082,30.151,30000.0
19,324.678,12.0,0.001,39.904,29.566,30000.0
