,T1 (Celsius),P1 (MPa),P5 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,295.009,8.0,0.01,38.118,30.014,30000.0
1,296.828,8.211,0.01,38.395,29.827,30000.0
2,298.612,8.421,0.009,38.675,29.641,30000.0
3,300.362,8.632,0.009,38.956,29.457,30000.0
4,302.079,8.842,0.008,39.24,29.273,30000.0
5,303.766,9.053,0.008,39.529,29.088,30000.0
6,305.422,9.263,0.007,39.823,28.902,30000.0
7,307.049,9.474,0.007,40.124,28.714,30000.0
8,308.649,9.684,0.006,40.433,28.523,30000.0
9,310.223,9.895,0.006,40.752,28.328,30000.0
10,311.77,10.105,0.005,41.084,28.128,30000.0
11,313.293,10.316,0.005,41.431,27.921,30000.0
12,314.792,10.526,0.004,41.797,27.704,30000.0
13,316.268,10.737,0.004,42.188,27.476,30000.0
14,317.721,10.947,0.003,42.609,27.233,30000.0
15,319.153,11.158,0.003,43.071,26.97,30000.0
16,320.564,11.368,0.002,43.588,26.678,30000.0
17,321.955,11.579,0.002,44.184,26.347,30000.0
18,323.326,11.789,0.001,44.902,25.956,30000.0
19,324.678,12.0,0.001,45.834,25.459,30000.0
