,T1 (Celsius),P1 (MPa),P5 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,35.461,29.273,30000.0
1,417.895,8.211,0.01,36.089,28.34,30000.0
2,435.789,8.421,0.009,36.71,27.455,30000.0
3,453.684,8.632,0.009,37.326,26.614,30000.0
4,471.579,8.842,0.008,37.937,25.813,30000.0
5,489.474,9.053,0.008,38.546,25.049,30000.0
6,507.368,9.263,0.007,39.152,24.318,30000.0
7,525.263,9.474,0.007,39.757,23.618,30000.0
8,543.158,9.684,0.006,40.363,22.946,30000.0
9,561.053,9.895,0.006,40.97,22.3,30000.0
10,578.947,10.105,0.005,41.581,21.678,30000.0
11,596.842,10.316,0.005,42.197,21.077,30000.0
12,614.737,10.526,0.004,42.822,20.496,30000.0
13,632.632,10.737,0.004,43.459,19.931,30000.0
14,650.526,10.947,0.003,44.114,19.38,30000.0
15,668.421,11.158,0.003,44.793,18.841,30000.0
16,686.316,11.368,0.002,45.507,18.308,30000.0
17,704.211,11.579,0.002,46.274,17.776,30000.0
18,722.105,11.789,0.001,47.127,17.235,30000.0
19,740.0,12.0,0.001,48.133,16.664,30000.0
