,T1 (Celsius),P1 (MPa),P5 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,41.068,25.231,30000.0
1,417.895,8.211,0.01,41.719,24.444,30000.0
2,435.789,8.421,0.009,42.364,23.698,30000.0
3,453.684,8.632,0.009,43.006,22.987,30000.0
4,471.579,8.842,0.008,43.644,22.309,30000.0
5,489.474,9.053,0.008,44.28,21.661,30000.0
6,507.368,9.263,0.007,44.916,21.041,30000.0
7,525.263,9.474,0.007,45.551,20.446,30000.0
8,543.158,9.684,0.006,46.189,19.874,30000.0
9,561.053,9.895,0.006,46.83,19.323,30000.0
10,578.947,10.105,0.005,47.476,18.792,30000.0
11,596.842,10.316,0.005,48.13,18.279,30000.0
12,614.737,10.526,0.004,48.794,17.782,30000.0
13,632.632,10.737,0.004,49.474,17.298,30000.0
14,650.526,10.947,0.003,50.174,16.826,30000.0
15,668.421,11.158,0.003,50.903,16.363,30000.0
16,686.316,11.368,0.002,51.673,15.905,30000.0
17,704.211,11.579,0.002,52.504,15.447,30000.0
18,722.105,11.789,0.001,53.432,14.98,30000.0
19,740.0,12.0,0.001,54.535,14.488,30000.0
