,T1 (Celsius),P1 (MPa),P5 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,295.009,8.0,0.01,33.669,29.368,25000.0
1,296.828,8.211,0.01,33.909,29.188,25000.0
2,298.612,8.421,0.009,34.151,29.01,25000.0
3,300.362,8.632,0.009,34.395,28.832,25000.0
4,302.079,8.842,0.008,34.642,28.654,25000.0
5,303.766,9.053,0.008,34.893,28.476,25000.0
6,305.422,9.263,0.007,35.148,28.296,25000.0
7,307.049,9.474,0.007,35.409,28.115,25000.0
8,308.649,9.684,0.006,35.678,27.93,25000.0
9,310.223,9.895,0.006,35.955,27.741,25000.0
10,311.77,10.105,0.005,36.244,27.547,25000.0
11,313.293,10.316,0.005,36.546,27.345,25000.0
12,314.792,10.526,0.004,36.866,27.134,25000.0
13,316.268,10.737,0.004,37.207,26.911,25000.0
14,317.721,10.947,0.003,37.575,26.673,25000.0
15,319.153,11.158,0.003,37.979,26.415,25000.0
16,320.564,11.368,0.002,38.433,26.128,25000.0
17,321.955,11.579,0.002,38.956,25.802,25000.0
18,323.326,11.789,0.001,39.588,25.414,25000.0
19,324.678,12.0,0.001,40.41,24.922,25000.0
