,T1 (Celsius),P1 (MPa),P5 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,295.009,8.0,0.01,38.686,25.188,25000.0
1,296.828,8.211,0.01,38.96,25.036,25000.0
2,298.612,8.421,0.009,39.235,24.885,25000.0
3,300.362,8.632,0.009,39.513,24.735,25000.0
4,302.079,8.842,0.008,39.794,24.584,25000.0
5,303.766,9.053,0.008,40.079,24.434,25000.0
6,305.422,9.263,0.007,40.37,24.282,25000.0
7,307.049,9.474,0.007,40.667,24.128,25000.0
8,308.649,9.684,0.006,40.973,23.972,25000.0
9,310.223,9.895,0.006,41.289,23.812,25000.0
10,311.77,10.105,0.005,41.618,23.648,25000.0
11,313.293,10.316,0.005,41.962,23.477,25000.0
12,314.792,10.526,0.004,42.325,23.299,25000.0
13,316.268,10.737,0.004,42.713,23.111,25000.0
14,317.721,10.947,0.003,43.132,22.909,25000.0
15,319.153,11.158,0.003,43.592,22.69,25000.0
16,320.564,11.368,0.002,44.107,22.448,25000.0
17,321.955,11.579,0.002,44.702,22.172,25000.0
18,323.326,11.789,0.001,45.419,21.843,25000.0
19,324.678,12.0,0.001,46.351,21.426,25000.0
