,T1 (Celsius),P1 (MPa),P5 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,35.907,24.562,25000.0
1,417.895,8.211,0.01,36.515,23.779,25000.0
2,435.789,8.421,0.009,37.118,23.037,25000.0
3,453.684,8.632,0.009,37.716,22.331,25000.0
4,471.579,8.842,0.008,38.31,21.659,25000.0
5,489.474,9.053,0.008,38.903,21.018,25000.0
6,507.368,9.263,0.007,39.494,20.405,25000.0
7,525.263,9.474,0.007,40.084,19.817,25000.0
8,543.158,9.684,0.006,40.676,19.253,25000.0
9,561.053,9.895,0.006,41.27,18.711,25000.0
10,578.947,10.105,0.005,41.867,18.188,25000.0
11,596.842,10.316,0.005,42.472,17.684,25000.0
12,614.737,10.526,0.004,43.085,17.195,25000.0
13,632.632,10.737,0.004,43.711,16.721,25000.0
14,650.526,10.947,0.003,44.354,16.259,25000.0
15,668.421,11.158,0.003,45.023,15.806,25000.0
16,686.316,11.368,0.002,45.728,15.358,25000.0
17,704.211,11.579,0.002,46.486,14.911,25000.0
18,722.105,11.789,0.001,47.33,14.456,25000.0
19,740.0,12.0,0.001,48.329,13.977,25000.0
