,T1 (Celsius),P1 (MPa),P5 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,40.988,21.15,25000.0
1,417.895,8.211,0.01,41.636,20.491,25000.0
2,435.789,8.421,0.009,42.279,19.865,25000.0
3,453.684,8.632,0.009,42.918,19.27,25000.0
4,471.579,8.842,0.008,43.554,18.701,25000.0
5,489.474,9.053,0.008,44.188,18.158,25000.0
6,507.368,9.263,0.007,44.822,17.638,25000.0
7,525.263,9.474,0.007,45.456,17.139,25000.0
8,543.158,9.684,0.006,46.092,16.66,25000.0
9,561.053,9.895,0.006,46.731,16.198,25000.0
10,578.947,10.105,0.005,47.376,15.753,25000.0
11,596.842,10.316,0.005,48.029,15.322,25000.0
12,614.737,10.526,0.004,48.692,14.905,25000.0
13,632.632,10.737,0.004,49.371,14.499,25000.0
14,650.526,10.947,0.003,50.071,14.103,25000.0
15,668.421,11.158,0.003,50.799,13.715,25000.0
16,686.316,11.368,0.002,51.569,13.33,25000.0
17,704.211,11.579,0.002,52.4,12.946,25000.0
18,722.105,11.789,0.001,53.329,12.555,25000.0
19,740.0,12.0,0.001,54.433,12.141,25000.0
