,T1 (Celsius),P1 (MPa),P4 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,33.277,27.46,30000.0
1,417.895,8.211,0.01,33.818,26.593,30000.0
2,435.789,8.421,0.009,34.357,25.767,30000.0
3,453.684,8.632,0.009,34.894,24.98,30000.0
4,471.579,8.842,0.008,35.43,24.228,30000.0
5,489.474,9.053,0.008,35.967,23.508,30000.0
6,507.368,9.263,0.007,36.504,22.817,30000.0
7,525.263,9.474,0.007,37.043,22.152,30000.0
8,543.158,9.684,0.006,37.584,21.513,30000.0
9,561.053,9.895,0.006,38.129,20.895,30000.0
10,578.947,10.105,0.005,38.68,20.298,30000.0
11,596.842,10.316,0.005,39.239,19.719,30000.0
12,614.737,10.526,0.004,39.807,19.156,30000.0
13,632.632,10.737,0.004,40.388,18.607,30000.0
14,650.526,10.947,0.003,40.987,18.068,30000.0
15,668.421,11.158,0.003,41.611,17.535,30000.0
16,686.316,11.368,0.002,42.269,17.005,30000.0
17,704.211,11.579,0.002,42.978,16.469,30000.0
18,722.105,11.789,0.001,43.768,15.915,30000.0
19,740.0,12.0,0.001,44.704,15.316,30000.0
