,T1 (Celsius),P1 (MPa),P6 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,295.009,8.0,0.01,38.71,29.076,25000.0
1,296.828,8.211,0.01,38.974,28.95,25000.0
2,298.612,8.421,0.009,39.239,28.826,25000.0
3,300.362,8.632,0.009,39.506,28.702,25000.0
4,302.079,8.842,0.008,39.776,28.577,25000.0
5,303.766,9.053,0.008,40.05,28.451,25000.0
6,305.422,9.263,0.007,40.33,28.324,25000.0
7,307.049,9.474,0.007,40.615,28.194,25000.0
8,308.649,9.684,0.006,40.909,28.061,25000.0
9,310.223,9.895,0.006,41.213,27.923,25000.0
10,311.77,10.105,0.005,41.529,27.779,25000.0
11,313.293,10.316,0.005,41.86,27.628,25000.0
12,314.792,10.526,0.004,42.209,27.468,25000.0
13,316.268,10.737,0.004,42.582,27.295,25000.0
14,317.721,10.947,0.003,42.986,27.107,25000.0
15,319.153,11.158,0.003,43.429,26.897,25000.0
16,320.564,11.368,0.002,43.927,26.66,25000.0
17,321.955,11.579,0.002,44.502,26.382,25000.0
18,323.326,11.789,0.001,45.197,26.043,25000.0
19,324.678,12.0,0.001,46.103,25.597,25000.0
