,T1 (Celsius),P1 (MPa),P6 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,38.558,20.484,25000.0
1,417.895,8.211,0.01,39.302,19.812,25000.0
2,435.789,8.421,0.009,40.081,19.309,25000.0
3,453.684,8.632,0.009,40.865,18.831,25000.0
4,471.579,8.842,0.008,41.653,18.374,25000.0
5,489.474,9.053,0.008,42.445,17.936,25000.0
6,507.368,9.263,0.007,43.242,17.515,25000.0
7,525.263,9.474,0.007,44.044,17.109,25000.0
8,543.158,9.684,0.006,44.851,16.719,25000.0
9,561.053,9.895,0.006,45.666,16.342,25000.0
10,578.947,10.105,0.005,46.488,15.979,25000.0
11,596.842,10.316,0.005,47.321,15.626,25000.0
12,614.737,10.526,0.004,48.165,15.285,25000.0
13,632.632,10.737,0.004,49.022,14.955,25000.0
14,650.526,10.947,0.003,49.898,14.634,25000.0
15,668.421,11.158,0.003,50.801,14.32,25000.0
16,686.316,11.368,0.002,51.744,14.009,25000.0
17,704.211,11.579,0.002,52.749,13.697,25000.0
18,722.105,11.789,0.001,53.852,13.376,25000.0
19,740.0,12.0,0.001,55.136,13.029,25000.0
