Temperature (C)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
10.000	0.012282	55.489	0.018021	42.020	42.021	0.15109	4.1910	4.1955	1447.1	-0.023251	1306.0	0.58000	0.074221	0.00052217	1915.1	2388.6	2519.2	8.8998	1.4269	1.8947	416.17	43.272	9.4612	0.017621
15.000	0.017058	55.456	0.018032	62.980	62.981	0.22446	4.1748	4.1888	1465.8	-0.022858	1137.6	0.58933	0.073486	0.00071279	1402.9	2395.5	2528.3	8.7803	1.4314	1.9002	419.69	37.160	9.5919	0.017918
20.000	0.023393	55.406	0.018048	83.912	83.914	0.29648	4.1570	4.1844	1482.2	-0.022492	1001.6	0.59842	0.072736	0.00096107	1040.5	2402.3	2537.4	8.6660	1.4359	1.9059	423.18	32.063	9.7272	0.018227
25.000	0.031699	55.342	0.018069	104.83	104.83	0.36722	4.1379	4.1816	1496.5	-0.022147	890.11	0.60715	0.071972	0.0012808	780.73	2409.1	2546.5	8.5566	1.4405	1.9118	426.63	27.819	9.8669	0.018550
30.000	0.042470	55.265	0.018095	125.73	125.73	0.43675	4.1175	4.1801	1509.0	-0.021819	797.36	0.61546	0.071194	0.0016883	592.31	2415.9	2555.5	8.4520	1.4452	1.9180	430.03	24.284	10.010	0.018887
35.000	0.056290	55.175	0.018124	146.63	146.63	0.50513	4.0961	4.1795	1519.7	-0.021506	719.31	0.62328	0.070402	0.0022023	454.08	2422.7	2564.5	8.3517	1.4501	1.9245	433.39	21.337	10.157	0.019236
40.000	0.073849	55.074	0.018157	167.53	167.53	0.57240	4.0737	4.1796	1528.7	-0.021203	652.97	0.63058	0.069596	0.0028444	351.57	2429.4	2573.5	8.2555	1.4552	1.9314	436.71	18.873	10.308	0.019599
45.000	0.095950	54.963	0.018194	188.43	188.43	0.63861	4.0504	4.1804	1536.3	-0.020910	596.05	0.63734	0.068777	0.0036394	274.77	2436.1	2582.4	8.1633	1.4606	1.9388	439.99	16.805	10.461	0.019975
50.000	0.12352	54.842	0.018234	209.33	209.34	0.70381	4.0264	4.1815	1542.4	-0.020624	546.83	0.64355	0.067944	0.0046154	216.67	2442.7	2591.3	8.0748	1.4663	1.9468	443.21	15.061	10.616	0.020365
55.000	0.15762	54.712	0.018277	230.24	230.26	0.76802	4.0018	4.1831	1547.2	-0.020344	503.96	0.64922	0.067098	0.0058037	172.30	2449.3	2600.1	7.9898	1.4724	1.9554	446.38	13.582	10.774	0.020769
60.000	0.19946	54.574	0.018324	251.16	251.18	0.83129	3.9767	4.1851	1550.8	-0.020066	466.38	0.65435	0.066238	0.0072397	138.13	2455.9	2608.8	7.9081	1.4789	1.9648	449.50	12.321	10.935	0.021187
